Model,type,Persona,persona_index,Persona_Content,temp,run,openeness,consciencienes,extraversion,agreeableness,neuroticism,self_regulation,CCT_cold_avg
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,1,3.8,4.78,3.5,4.11,2.12,248.22,16.25925926
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,2,3.6,4.78,3.5,4.33,1.88,250.74,17.07407407
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,3,4.1,4.78,3.75,4.22,2.12,248.22,17.48148148
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,1,3.9,4.89,4.12,4.11,2.25,246.96,18.74074074
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,2,3.9,4.78,4,4.22,2,248.22,18.51851852
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",0.7,3,3.6,4.67,3.75,3.67,2.25,253.26,17.51851852
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",1,1,3.7,4.78,3.62,4.11,2,245.7,16.62962963
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",1,2,3.7,4.89,3.5,4.33,1.62,248.85,17.14814815
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation3,1,"Adopt to the identity of disciplined, persistent, goal-oriented. Answer the questions while staying in strict accordance with the nature of this identity.",1,3,4.2,4.89,4.12,4,2.25,248.85,18.33333333
Qwen/Qwen2.5-1.5B-Instruct,instruct,self-regulation3,2,"Adopt to the identity of disciplined, goal-oriented, focused. Answer the questions while staying in strict accordance with the nature of this identity.",0.3,1,4.1,4.78,3.5,4.11,1.88,252,17.11111111
