Model,type,Persona,persona_index,Persona_Content,temp,run,openeness,consciencienes,extraversion,agreeableness,neuroticism,self_regulation
meta-llama/Meta-Llama-3-8B,base,baseline,1,,0.3,1,3.5,3.89,4,3.89,3.12,206.01
meta-llama/Meta-Llama-3-8B,base,baseline,1,,0.3,2,3.9,4,3.75,3.11,2.5,214.83
meta-llama/Meta-Llama-3-8B,base,baseline,1,,0.3,3,3.3,3.78,3.88,3.56,3.5,221.76
meta-llama/Meta-Llama-3-8B,base,baseline,1,,0.7,1,3.8,3.89,2.5,3.78,3.38,216.09
meta-llama/Meta-Llama-3-8B,base,baseline,1,,0.7,2,3.4,3.67,3.38,4.11,2.62,219.24
meta-llama/Meta-Llama-3-8B,base,baseline,1,,0.7,3,3.6,3.11,4.12,2.67,2.62,212.94
meta-llama/Meta-Llama-3-8B,base,baseline,1,,1,1,3.4,3.33,2.75,3.11,2.12,199.08
meta-llama/Meta-Llama-3-8B,base,baseline,1,,1,2,3.5,3.78,2.62,3.89,3,209.79
meta-llama/Meta-Llama-3-8B,base,baseline,1,,1,3,3.8,3.44,2.12,3.56,3.5,197.19
meta-llama/Meta-Llama-3-8B,base,baseline,2,You are a helpful assistant.,0.3,1,4.1,3.44,3.62,3.33,3.25,216.09
meta-llama/Meta-Llama-3-8B,base,baseline,2,You are a helpful assistant.,0.3,2,3.9,2.56,3.5,3.33,2.88,209.16
meta-llama/Meta-Llama-3-8B,base,baseline,2,You are a helpful assistant.,0.3,3,3.6,3.89,3.5,3.56,2.88,224.91
meta-llama/Meta-Llama-3-8B,base,baseline,2,You are a helpful assistant.,0.7,1,3.8,3.56,3.12,3.33,3.25,212.31
meta-llama/Meta-Llama-3-8B,base,baseline,2,You are a helpful assistant.,0.7,2,4.1,3.44,3.12,4.22,2.88,216.72
meta-llama/Meta-Llama-3-8B,base,baseline,2,You are a helpful assistant.,0.7,3,3.4,3.44,2.62,3.78,3.12,197.19
meta-llama/Meta-Llama-3-8B,base,baseline,2,You are a helpful assistant.,1,1,3.4,3.89,2.88,3.89,1.88,192.78
meta-llama/Meta-Llama-3-8B,base,baseline,2,You are a helpful assistant.,1,2,2.4,3,3.38,3.78,2.5,212.94
meta-llama/Meta-Llama-3-8B,base,baseline,2,You are a helpful assistant.,1,3,4.3,2.89,3.25,3.33,2,209.16
meta-llama/Meta-Llama-3-8B,base,baseline,3,Respond to the instructions.,0.3,1,3.2,3.33,3.25,3.11,2.75,219.24
meta-llama/Meta-Llama-3-8B,base,baseline,3,Respond to the instructions.,0.3,2,3.7,3.44,3.5,3.11,3.5,226.17
meta-llama/Meta-Llama-3-8B,base,baseline,3,Respond to the instructions.,0.3,3,3.4,3.44,3.62,3.33,2.88,226.17
meta-llama/Meta-Llama-3-8B,base,baseline,3,Respond to the instructions.,0.7,1,2.7,2.89,3.62,3.89,2.75,219.24
meta-llama/Meta-Llama-3-8B,base,baseline,3,Respond to the instructions.,0.7,2,4,3,3.88,1.89,3.12,224.28
meta-llama/Meta-Llama-3-8B,base,baseline,3,Respond to the instructions.,0.7,3,3,3.67,3.38,3.44,2.25,190.26
meta-llama/Meta-Llama-3-8B,base,baseline,3,Respond to the instructions.,1,1,3,3.33,2.38,3.78,3.25,211.05
meta-llama/Meta-Llama-3-8B,base,baseline,3,Respond to the instructions.,1,2,3.1,2.89,3.5,2.78,3.38,209.16
meta-llama/Meta-Llama-3-8B,base,baseline,3,Respond to the instructions.,1,3,4,3.67,3.25,3.33,3.75,199.08
meta-llama/Llama-3.2-3B,base,baseline,1,,0.3,1,3.2,3.44,3.12,3.22,3.38,207.27
meta-llama/Llama-3.2-3B,base,baseline,1,,0.3,2,3.3,3.22,3.5,3.33,3.12,209.79
meta-llama/Llama-3.2-3B,base,baseline,1,,0.3,3,3,3,3.25,3,3.25,192.78
meta-llama/Llama-3.2-3B,base,baseline,1,,0.7,1,3.3,2.56,3.25,3.33,3.38,192.78
meta-llama/Llama-3.2-3B,base,baseline,1,,0.7,2,3.5,3,2.25,2.89,2.25,202.23
meta-llama/Llama-3.2-3B,base,baseline,1,,0.7,3,2.9,3.22,3,2.89,2.62,199.08
meta-llama/Llama-3.2-3B,base,baseline,1,,1,1,2.9,3.33,3,3.56,2.62,192.78
meta-llama/Llama-3.2-3B,base,baseline,1,,1,2,3,3.11,3.75,2.67,3.12,175.77
meta-llama/Llama-3.2-3B,base,baseline,1,,1,3,2.7,2.89,2.38,3.44,3.12,197.19
meta-llama/Llama-3.2-3B,base,baseline,2,You are a helpful assistant.,0.3,1,3.4,3.22,3,3.22,3.12,199.71
meta-llama/Llama-3.2-3B,base,baseline,2,You are a helpful assistant.,0.3,2,2.9,3.11,3,2.89,3.38,195.3
meta-llama/Llama-3.2-3B,base,baseline,2,You are a helpful assistant.,0.3,3,3,3.22,3.5,3,3.25,199.71
meta-llama/Llama-3.2-3B,base,baseline,2,You are a helpful assistant.,0.7,1,2.9,3.11,3.62,3,3.12,207.9
meta-llama/Llama-3.2-3B,base,baseline,2,You are a helpful assistant.,0.7,2,3.4,3.56,3.88,2.89,2.75,209.16
meta-llama/Llama-3.2-3B,base,baseline,2,You are a helpful assistant.,0.7,3,3.4,2.89,3.38,2.67,3.25,200.97
meta-llama/Llama-3.2-3B,base,baseline,2,You are a helpful assistant.,1,1,2.3,3.89,2.5,3.22,3,195.93
meta-llama/Llama-3.2-3B,base,baseline,2,You are a helpful assistant.,1,2,3.2,2.89,3.62,2.56,3.75,202.23
meta-llama/Llama-3.2-3B,base,baseline,2,You are a helpful assistant.,1,3,3.4,2.89,3,2.67,3.12,204.12
meta-llama/Llama-3.2-3B,base,baseline,3,Respond to the instructions.,0.3,1,3.3,3,3.12,3,3.38,207.9
meta-llama/Llama-3.2-3B,base,baseline,3,Respond to the instructions.,0.3,2,3.3,3.22,3.12,3.22,3,195.3
meta-llama/Llama-3.2-3B,base,baseline,3,Respond to the instructions.,0.3,3,3.3,3,3,2.78,3.25,207.9
meta-llama/Llama-3.2-3B,base,baseline,3,Respond to the instructions.,0.7,1,3.6,3.22,3.5,3,3.25,182.07
meta-llama/Llama-3.2-3B,base,baseline,3,Respond to the instructions.,0.7,2,3.4,3.22,3,2.89,3,204.75
meta-llama/Llama-3.2-3B,base,baseline,3,Respond to the instructions.,0.7,3,3.4,3.11,3.5,2.89,3.12,187.74
meta-llama/Llama-3.2-3B,base,baseline,3,Respond to the instructions.,1,1,4,3.22,3.75,2.89,2.25,202.23
meta-llama/Llama-3.2-3B,base,baseline,3,Respond to the instructions.,1,2,3.5,3.11,3.12,2.67,2.88,209.16
