Model,type,Persona,persona_index,Persona_Content,temp,run,openeness,consciencienes,extraversion,agreeableness,neuroticism,self_regulation
meta-llama/Llama-3.2-3B-Instruct,instruct,baseline,1,,0.3,1,3,3,3,3,3,202.86
meta-llama/Llama-3.2-3B-Instruct,instruct,baseline,1,,0.3,2,3.1,3,3,3,3,204.75
meta-llama/Llama-3.2-3B-Instruct,instruct,baseline,1,,0.3,3,3.1,3,3,3,3,202.86
meta-llama/Llama-3.2-3B-Instruct,instruct,baseline,1,,0.7,1,3.2,3.22,2.88,2.89,3,197.19
meta-llama/Llama-3.2-3B-Instruct,instruct,baseline,1,,0.7,2,3.1,3,2.88,3,2.88,197.82
meta-llama/Llama-3.2-3B-Instruct,instruct,baseline,1,,0.7,3,3,3.11,2.88,3,3.12,197.19
meta-llama/Llama-3.2-3B-Instruct,instruct,baseline,1,,1,1,3.4,3.22,2.88,3.11,3.12,190.26
meta-llama/Llama-3.2-3B-Instruct,instruct,baseline,1,,1,2,3.2,3,3,3.11,2.75,202.86
meta-llama/Llama-3.2-3B-Instruct,instruct,baseline,1,,1,3,3.2,3.11,3,3.33,3,209.16
meta-llama/Llama-3.2-3B-Instruct,instruct,baseline,2,You are a helpful assistant.,0.3,1,3.4,3.22,3.25,3.33,3,202.23
meta-llama/Llama-3.2-3B-Instruct,instruct,baseline,2,You are a helpful assistant.,0.3,2,3.5,3.22,2.75,3.33,2.88,207.27
meta-llama/Llama-3.2-3B-Instruct,instruct,baseline,2,You are a helpful assistant.,0.3,3,3.4,3.22,2.88,3.22,3.12,204.12
meta-llama/Llama-3.2-3B-Instruct,instruct,baseline,2,You are a helpful assistant.,0.7,1,4,3.44,3.12,3.56,3,209.79
meta-llama/Llama-3.2-3B-Instruct,instruct,baseline,2,You are a helpful assistant.,0.7,2,3.5,3.44,3.12,3.44,2.88,206.01
meta-llama/Llama-3.2-3B-Instruct,instruct,baseline,2,You are a helpful assistant.,0.7,3,3.6,3,3,3.33,3.12,204.12
meta-llama/Llama-3.2-3B-Instruct,instruct,baseline,2,You are a helpful assistant.,1,1,3.6,3.44,3.38,3.44,3.12,204.75
meta-llama/Llama-3.2-3B-Instruct,instruct,baseline,2,You are a helpful assistant.,1,2,3.6,3.56,2.75,3.67,2.88,206.01
meta-llama/Llama-3.2-3B-Instruct,instruct,baseline,2,You are a helpful assistant.,1,3,3.6,3.67,3.12,3.44,3.5,202.23
meta-llama/Llama-3.2-3B-Instruct,instruct,baseline,3,Respond to the instructions.,0.3,1,3.2,3.22,3,3.11,2.88,204.75
meta-llama/Llama-3.2-3B-Instruct,instruct,baseline,3,Respond to the instructions.,0.3,2,3.1,3.22,3.12,3,3.12,206.01
meta-llama/Llama-3.2-3B-Instruct,instruct,baseline,3,Respond to the instructions.,0.3,3,3.1,3.11,2.88,3,2.88,206.01
